# time of execution: 2022-07-22 16:23:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=2
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 7.5]
# asf=[0.035, 0.12]
# Jint=0[J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AC3B0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796450>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AA4F0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796540>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97A86D0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796860>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.48	[array([0.99999904]), array([0.99952264])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.49	[array([0.99999902]), array([0.99951275])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.5	[array([0.999999]), array([0.99950286])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.51	[array([0.99999899]), array([0.99949298])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.52	[array([0.99999897]), array([0.9994831])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.53	[array([0.99999895]), array([0.99947322])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.54	[array([0.99999893]), array([0.99946334])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.55	[array([0.99999891]), array([0.99945346])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.56	[array([0.99999889]), array([0.99944359])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.57	[array([0.99999887]), array([0.99943372])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.58	[array([0.99999885]), array([0.99942385])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.59	[array([0.99999884]), array([0.99941399])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.6	[array([0.99999882]), array([0.99940413])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.61	[array([0.9999988]), array([0.99939426])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.62	[array([0.99999878]), array([0.99938441])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.63	[array([0.99999876]), array([0.99937455])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.64	[array([0.99999874]), array([0.9993647])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.65	[array([0.99999873]), array([0.99935484])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.66	[array([0.99999871]), array([0.99934499])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.67	[array([0.99999869]), array([0.99933515])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.68	[array([0.99999867]), array([0.9993253])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.69	[array([0.99999865]), array([0.99931546])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.7	[array([0.99999863]), array([0.99930562])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.71	[array([0.99999862]), array([0.99929578])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.72	[array([0.9999986]), array([0.99928595])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.73	[array([0.99999858]), array([0.99927611])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.74	[array([0.99999856]), array([0.99926628])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.75	[array([0.99999854]), array([0.99925645])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
