# time of execution: 2021-05-30 17:26:53
#model:['m3tm', 'm3tm']
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:300.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, -0.1]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=[ 7 15]
# dx=[2.856e-10, 3e-10]	dy=[2.856e-10, 3e-10]	dz=[2.856e-10, 3e-10]	[m]
# atoms per unit cell:[2, 2]
# asf=[0.035, 0.01]
# Jint=-9.439036996666669e-21[J]
# Hex=0.0[J]
# Tc=[1041, 293][K]
# T_Deb=[396, 1][K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.01	[0.98624, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.98624]	[-0.10012, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.09997]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.02	[0.98617, 0.98629, 0.98629, 0.98629, 0.98629, 0.98629, 0.98617]	[-0.10024, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.09993]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.03	[0.98611, 0.98629, 0.98629, 0.98629, 0.98629, 0.98629, 0.98611]	[-0.10036, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.0999]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.04	[0.98604, 0.98628, 0.98628, 0.98628, 0.98628, 0.98628, 0.98605]	[-0.10048, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09987]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.05	[0.98598, 0.98628, 0.98628, 0.98628, 0.98628, 0.98628, 0.98599]	[-0.1006, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09984]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.06	[0.98591, 0.98628, 0.98628, 0.98628, 0.98628, 0.98628, 0.98592]	[-0.10072, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.0998]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.07	[0.98585, 0.98627, 0.98627, 0.98627, 0.98627, 0.98627, 0.98586]	[-0.10083, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09977]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.08	[0.98579, 0.98627, 0.98627, 0.98627, 0.98627, 0.98627, 0.9858]	[-0.10095, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09974]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.09	[0.98572, 0.98627, 0.98627, 0.98627, 0.98627, 0.98627, 0.98574]	[-0.10107, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.0997]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.1	[0.98566, 0.98626, 0.98626, 0.98626, 0.98626, 0.98626, 0.98567]	[-0.10119, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09967]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.11	[0.98559, 0.98626, 0.98626, 0.98626, 0.98626, 0.98626, 0.98561]	[-0.10131, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09964]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.12	[0.98553, 0.98625, 0.98625, 0.98625, 0.98625, 0.98625, 0.98555]	[-0.10143, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09961]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.13	[0.98547, 0.98625, 0.98625, 0.98625, 0.98625, 0.98625, 0.98549]	[-0.10155, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09957]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
