# time of execution: 2022-06-26 16:31:58
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9999933910099341	100.0	100.0	0.0	0.0	0.0	0.0	[-5.2869277e-25]
0.02	0.9999867824805235	100.0	100.0	0.0	0.0	0.0	0.0	[-1.05729582e-24]
0.03	0.9999801744123139	100.0	100.0	0.0	0.0	0.0	0.0	[-1.58580912e-24]
0.04	0.9999735668058516	100.0	100.0	0.0	0.0	0.0	0.0	[-2.11423264e-24]
0.05	0.9999669596616806	100.0	100.0	0.0	0.0	0.0	0.0	[-2.64256633e-24]
0.06	0.9999603529803466	100.0	100.0	0.0	0.0	0.0	0.0	[-3.17081017e-24]
0.07	0.9999537467623932	100.0	100.0	0.0	0.0	0.0	0.0	[-3.69896411e-24]
0.08	0.9999471410083655	100.0	100.0	0.0	0.0	0.0	0.0	[-4.22702814e-24]
0.09	0.9999405357188069	100.0	100.0	0.0	0.0	0.0	0.0	[-4.7550022e-24]
0.1	0.9999339308942615	100.0	100.0	0.0	0.0	0.0	0.0	[-5.28288627e-24]
0.11	0.9999273265352722	100.0	100.0	0.0	0.0	0.0	0.0	[-5.81068031e-24]
0.12	0.9999207226423817	100.0	100.0	0.0	0.0	0.0	0.0	[-6.33838428e-24]
0.13	0.9999141192161334	100.0	100.0	0.0	0.0	0.0	0.0	[-6.86599816e-24]
0.14	0.9999075162570693	100.0	100.0	0.0	0.0	0.0	0.0	[-7.39352191e-24]
0.15	0.9999009137657305	100.0	100.0	0.0	0.0	0.0	0.0	[-7.9209555e-24]
0.16	0.9998943117426591	100.0	100.0	0.0	0.0	0.0	0.0	[-8.44829888e-24]
0.17	0.9998877101883963	100.0	100.0	0.0	0.0	0.0	0.0	[-8.97555203e-24]
0.18	0.9998811091034836	100.0	100.0	0.0	0.0	0.0	0.0	[-9.5027149e-24]
0.19	0.9998745084884616	100.0	100.0	0.0	0.0	0.0	0.0	[-1.00297875e-23]
0.2	0.9998679083438702	100.0	100.0	0.0	0.0	0.0	0.0	[-1.05567697e-23]
0.21	0.9998613086702494	100.0	100.0	0.0	0.0	0.0	0.0	[-1.10836616e-23]
0.22	0.9998547094681394	100.0	100.0	0.0	0.0	0.0	0.0	[-1.1610463e-23]
0.22999999999999998	0.9998481107380791	100.0	100.0	0.0	0.0	0.0	0.0	[-1.21371741e-23]
0.24	0.999841512480608	100.0	100.0	0.0	0.0	0.0	0.0	[-1.26637946e-23]
0.25	0.9998349146962645	100.0	100.0	0.0	0.0	0.0	0.0	[-1.31903247e-23]
0.26	0.9998283173855869	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37167642e-23]
0.27	0.9998217205491138	100.0	100.0	0.0	0.0	0.0	0.0	[-1.42431131e-23]
0.28	0.9998151241873825	100.0	100.0	0.0	0.0	0.0	0.0	[-1.47693714e-23]
0.29	0.9998085283009308	100.0	100.0	0.0	0.0	0.0	0.0	[-1.52955391e-23]
0.3	0.9998019328902965	100.0	100.0	0.0	0.0	0.0	0.0	[-1.58216161e-23]
0.31	0.9997953379560145	100.0	100.0	0.0	0.0	0.0	0.0	[-1.63476023e-23]
0.32	0.9997887434986221	100.0	100.0	0.0	0.0	0.0	0.0	[-1.68734979e-23]
0.33	0.9997821495186558	100.0	100.0	0.0	0.0	0.0	0.0	[-1.73993026e-23]
0.34	0.9997755560166519	100.0	100.0	0.0	0.0	0.0	0.0	[-1.79250166e-23]
0.35	0.9997689629931452	100.0	100.0	0.0	0.0	0.0	0.0	[-1.84506397e-23]
0.36	0.999762370448671	100.0	100.0	0.0	0.0	0.0	0.0	[-1.89761719e-23]
