# time of execution: 2022-06-17 14:32:30
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3
# mu_at=7[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.173178204080627e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:1e+19[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.61	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.04905512e-48]
0.62	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.09903963e-48]
0.6299999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.14902414e-48]
0.64	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.19900865e-48]
0.6499999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.24899316e-48]
0.66	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.29897767e-48]
0.6699999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.34896218e-48]
0.68	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.39894669e-48]
0.69	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.4489312e-48]
0.7	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.49891571e-48]
0.71	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.54890022e-48]
0.72	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.59888473e-48]
0.73	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.64886924e-48]
0.74	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.69885375e-48]
0.7499999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.74883826e-48]
0.76	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.79882277e-48]
0.7699999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.84880728e-48]
0.78	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.89879179e-48]
0.7899999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.9487763e-48]
0.8	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-3.99876081e-48]
0.8099999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.04874532e-48]
0.82	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.09872983e-48]
0.83	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.14871434e-48]
0.84	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.19869885e-48]
0.85	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.24868336e-48]
0.86	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.29866787e-48]
0.87	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.34865238e-48]
0.88	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.39863689e-48]
0.8899999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.4486214e-48]
0.9	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.49860591e-48]
0.9099999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.54859042e-48]
0.9199999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.59857493e-48]
0.93	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.64855944e-48]
0.9400000000000001	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.69854395e-48]
0.95	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.74852846e-48]
0.96	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.79851297e-48]
0.9699999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.84849748e-48]
0.9800000000000001	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.89848199e-48]
0.99	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.9484665e-48]
1.0	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-4.99845101e-48]
1.01	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.04843552e-48]
1.0199999999999998	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.09842003e-48]
1.03	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.14840454e-48]
1.04	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.19838905e-48]
1.05	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.24837356e-48]
1.0599999999999998	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.29835807e-48]
1.0699999999999998	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.34834259e-48]
1.08	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.3983271e-48]
1.09	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.44831161e-48]
1.0999999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.49829612e-48]
1.1099999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.54828063e-48]
1.12	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.59826514e-48]
1.1300000000000001	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.64824965e-48]
1.14	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.69823416e-48]
1.15	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.74821867e-48]
1.16	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.79820318e-48]
1.1700000000000002	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.84818769e-48]
1.18	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.8981722e-48]
1.19	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.94815671e-48]
1.2	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-5.99814122e-48]
1.21	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.04812573e-48]
1.22	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.09811024e-48]
1.23	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.14809475e-48]
1.24	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.19807926e-48]
1.25	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.24806377e-48]
1.2599999999999998	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.29804828e-48]
1.27	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.34803279e-48]
1.28	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.3980173e-48]
1.29	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.44800181e-48]
1.2999999999999998	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.49798632e-48]
1.31	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.54797083e-48]
1.32	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.59795534e-48]
1.33	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.64793985e-48]
1.3399999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.69792436e-48]
1.3499999999999999	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.74790887e-48]
1.36	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.79789338e-48]
1.37	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.84787789e-48]
1.38	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.8978624e-48]
1.39	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.94784691e-48]
1.4	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-6.99783142e-48]
1.4100000000000001	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-7.04781593e-48]
1.42	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-7.09780044e-48]
1.43	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-7.14778495e-48]
1.44	1.0	100.0	100.0	0.0	0.0	0.0	0.0	[-7.19776946e-48]
