# time of execution: 2022-08-03 17:58:17
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:7.5
# asf=0.12
# sdrate=1.5e-10
# sdissrate=1e-13
# rhosd=1e-19
# lambda=1e+16[W/m^3/K]
# gep=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D32C0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D3C20>[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.673959588570301e-06[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-10[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J]
0.52	0.999054787635601	100.0	100.0	0.0	0.0	0.0	0.0	-2.293792174799454e-22
0.5299999999999999	0.9990220613718648	100.0	100.0	0.0	0.0	0.0	0.0	-2.0538634208058027e-22
0.54	0.9989893897643418	100.0	100.0	0.0	0.0	0.0	0.0	-1.8421963868101841e-22
0.5499999999999999	0.9989567709092991	100.0	100.0	0.0	0.0	0.0	0.0	-1.6554578503376046e-22
0.56	0.9989242028839028	100.0	100.0	0.0	0.0	0.0	0.0	-1.4907079283486672e-22
0.57	0.9988916838008715	100.0	100.0	0.0	0.0	0.0	0.0	-1.3453536158627006e-22
0.58	0.9988592118457548	100.0	100.0	0.0	0.0	0.0	0.0	-1.2171078216095586e-22
0.59	0.9988267853010366	100.0	100.0	0.0	0.0	0.0	0.0	-1.1039532486966734e-22
0.6	0.9987944025604003	100.0	100.0	0.0	0.0	0.0	0.0	-1.0041105458611105e-22
0.61	0.998762062135748	100.0	100.0	0.0	0.0	0.0	0.0	-9.160102232117192e-23
0.62	0.99872976265898	100.0	100.0	0.0	0.0	0.0	0.0	-8.382678865436857e-23
0.6299999999999999	0.998697502880089	100.0	100.0	0.0	0.0	0.0	0.0	-7.696623973104137e-23
0.64	0.9986652816627455	100.0	100.0	0.0	0.0	0.0	0.0	-7.091166119928719e-23
0.6499999999999999	0.9986330979782476	100.0	100.0	0.0	0.0	0.0	0.0	-6.55680395728144e-23
0.66	0.998600950898509	100.0	100.0	0.0	0.0	0.0	0.0	-6.085156412433064e-23
0.6699999999999999	0.9985688395885628	100.0	100.0	0.0	0.0	0.0	0.0	-5.668830560330839e-23
0.68	0.998536763298921	100.0	100.0	0.0	0.0	0.0	0.0	-5.301305088148733e-23
0.69	0.9985047213580527	100.0	100.0	0.0	0.0	0.0	0.0	-4.9768275105598964e-23
0.7	0.9984727131651223	100.0	100.0	0.0	0.0	0.0	0.0	-4.6903235113088213e-23
0.71	0.9984407381831188	100.0	100.0	0.0	0.0	0.0	0.0	-4.4373169795015746e-23
0.72	0.9984087959324268	100.0	100.0	0.0	0.0	0.0	0.0	-4.213859477763668e-23
0.73	0.998376885984876	100.0	100.0	0.0	0.0	0.0	0.0	-4.016468029137051e-23
0.74	0.9983450079582767	100.0	100.0	0.0	0.0	0.0	0.0	-3.842070240841971e-23
0.7499999999999999	0.9983131615114369	100.0	100.0	0.0	0.0	0.0	0.0	-3.6879558993516907e-23
0.76	0.9982813463396436	100.0	100.0	0.0	0.0	0.0	0.0	-3.551734273148694e-23
0.7699999999999999	0.9982495621705836	100.0	100.0	0.0	0.0	0.0	0.0	-3.431296449910771e-23
0.78	0.9982178087606741	100.0	100.0	0.0	0.0	0.0	0.0	-3.3247821143232725e-23
0.7899999999999999	0.9981860858917765	100.0	100.0	0.0	0.0	0.0	0.0	-3.2305502426997837e-23
