# time of execution: 2022-06-23 09:45:22
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:1e+20[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9998679962087458	100.0	100.0	0.0	0.0	0.0	0.0	[-1.31997188e-39]
0.02	0.9997363565356546	100.0	100.0	0.0	0.0	0.0	0.0	[-2.63617077e-39]
0.03	0.9996050797992959	100.0	100.0	0.0	0.0	0.0	0.0	[-3.94860887e-39]
0.04	0.9994741648229395	100.0	100.0	0.0	0.0	0.0	0.0	[-5.25729831e-39]
0.05	0.999343610434531	100.0	100.0	0.0	0.0	0.0	0.0	[-6.56225118e-39]
0.06	0.9992134154666724	100.0	100.0	0.0	0.0	0.0	0.0	[-7.86347954e-39]
0.07	0.999083578756595	100.0	100.0	0.0	0.0	0.0	0.0	[-9.16099539e-39]
0.08	0.9989540991461383	100.0	100.0	0.0	0.0	0.0	0.0	[-1.04548107e-38]
0.09	0.9988249754817287	100.0	100.0	0.0	0.0	0.0	0.0	[-1.17449373e-38]
0.1	0.9986962066143557	100.0	100.0	0.0	0.0	0.0	0.0	[-1.30313871e-38]
0.11	0.9985677913995499	100.0	100.0	0.0	0.0	0.0	0.0	[-1.4314172e-38]
0.12	0.9984397286973612	100.0	100.0	0.0	0.0	0.0	0.0	[-1.55933036e-38]
0.13	0.9983120173723371	100.0	100.0	0.0	0.0	0.0	0.0	[-1.68687937e-38]
0.14	0.9981846562934997	100.0	100.0	0.0	0.0	0.0	0.0	[-1.8140654e-38]
0.15	0.9980576443343244	100.0	100.0	0.0	0.0	0.0	0.0	[-1.94088961e-38]
0.16	0.9979309803727177	100.0	100.0	0.0	0.0	0.0	0.0	[-2.06735315e-38]
0.17	0.9978046632909974	100.0	100.0	0.0	0.0	0.0	0.0	[-2.19345719e-38]
0.18	0.9976786919758697	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31920287e-38]
0.19	0.9975530653184077	100.0	100.0	0.0	0.0	0.0	0.0	[-2.44459134e-38]
0.2	0.9974277822140319	100.0	100.0	0.0	0.0	0.0	0.0	[-2.56962373e-38]
0.21	0.9973028415624887	100.0	100.0	0.0	0.0	0.0	0.0	[-2.69430118e-38]
0.22	0.9971782422678271	100.0	100.0	0.0	0.0	0.0	0.0	[-2.81862482e-38]
0.22999999999999998	0.9970539832383818	100.0	100.0	0.0	0.0	0.0	0.0	[-2.94259579e-38]
0.24	0.996930063386749	100.0	100.0	0.0	0.0	0.0	0.0	[-3.0662152e-38]
0.25	0.9968064816297693	100.0	100.0	0.0	0.0	0.0	0.0	[-3.18948417e-38]
0.26	0.9966832368885037	100.0	100.0	0.0	0.0	0.0	0.0	[-3.31240381e-38]
0.27	0.9965603280882159	100.0	100.0	0.0	0.0	0.0	0.0	[-3.43497524e-38]
0.28	0.9964377541583522	100.0	100.0	0.0	0.0	0.0	0.0	[-3.55719956e-38]
0.29	0.9963155140325186	100.0	100.0	0.0	0.0	0.0	0.0	[-3.67907787e-38]
0.3	0.9961936066484637	100.0	100.0	0.0	0.0	0.0	0.0	[-3.80061126e-38]
0.31	0.9960720309480587	100.0	100.0	0.0	0.0	0.0	0.0	[-3.92180084e-38]
0.32	0.9959507858772755	100.0	100.0	0.0	0.0	0.0	0.0	[-4.04264769e-38]
0.33	0.9958298703861705	100.0	100.0	0.0	0.0	0.0	0.0	[-4.16315288e-38]
0.34	0.9957092834288621	100.0	100.0	0.0	0.0	0.0	0.0	[-4.28331751e-38]
0.35	0.9955890239635122	100.0	100.0	0.0	0.0	0.0	0.0	[-4.40314265e-38]
0.36	0.995469090952308	100.0	100.0	0.0	0.0	0.0	0.0	[-4.52262937e-38]
0.37	0.9953494833614409	100.0	100.0	0.0	0.0	0.0	0.0	[-4.64177874e-38]
0.38	0.995230200161089	100.0	100.0	0.0	0.0	0.0	0.0	[-4.76059182e-38]
0.39	0.9951112403253992	100.0	100.0	0.0	0.0	0.0	0.0	[-4.87906967e-38]
0.4	0.9949926028324657	100.0	100.0	0.0	0.0	0.0	0.0	[-4.99721335e-38]
0.41	0.9948742866643127	100.0	100.0	0.0	0.0	0.0	0.0	[-5.1150239e-38]
0.42	0.9947562908068752	100.0	100.0	0.0	0.0	0.0	0.0	[-5.23250238e-38]
0.43	0.9946386142499816	100.0	100.0	0.0	0.0	0.0	0.0	[-5.34964982e-38]
0.44	0.994521255987335	100.0	100.0	0.0	0.0	0.0	0.0	[-5.46646728e-38]
0.45	0.9944042150164927	100.0	100.0	0.0	0.0	0.0	0.0	[-5.58295578e-38]
0.45999999999999996	0.994287490338852	100.0	100.0	0.0	0.0	0.0	0.0	[-5.69911635e-38]
0.47000000000000003	0.994171080959629	100.0	100.0	0.0	0.0	0.0	0.0	[-5.81495002e-38]
0.48	0.9940549858878421	100.0	100.0	0.0	0.0	0.0	0.0	[-5.93045782e-38]
0.49000000000000005	0.9939392041362933	100.0	100.0	0.0	0.0	0.0	0.0	[-6.04564076e-38]
0.5	0.9938237347215513	100.0	100.0	0.0	0.0	0.0	0.0	[-6.16049987e-38]
0.5099999999999999	0.9937085766639331	100.0	100.0	0.0	0.0	0.0	0.0	[-6.27503615e-38]
0.52	0.9935937289874855	100.0	100.0	0.0	0.0	0.0	0.0	[-6.38925061e-38]
0.5299999999999999	0.9934791907199708	100.0	100.0	0.0	0.0	0.0	0.0	[-6.50314425e-38]
0.54	0.9933649608928451	100.0	100.0	0.0	0.0	0.0	0.0	[-6.61671808e-38]
0.5499999999999999	0.9932510385412451	100.0	100.0	0.0	0.0	0.0	0.0	[-6.7299731e-38]
0.56	0.9931374227039697	100.0	100.0	0.0	0.0	0.0	0.0	[-6.84291029e-38]
0.57	0.9930241124234603	100.0	100.0	0.0	0.0	0.0	0.0	[-6.95553064e-38]
0.58	0.992911106745787	100.0	100.0	0.0	0.0	0.0	0.0	[-7.06783515e-38]
0.59	0.9927984047206304	100.0	100.0	0.0	0.0	0.0	0.0	[-7.17982479e-38]
0.6	0.9926860054012661	100.0	100.0	0.0	0.0	0.0	0.0	[-7.29150054e-38]
0.61	0.9925739078445445	100.0	100.0	0.0	0.0	0.0	0.0	[-7.40286338e-38]
0.62	0.9924621111108798	100.0	100.0	0.0	0.0	0.0	0.0	[-7.51391427e-38]
0.6299999999999999	0.9923506142642275	100.0	100.0	0.0	0.0	0.0	0.0	[-7.62465418e-38]
0.64	0.9922394163720714	100.0	100.0	0.0	0.0	0.0	0.0	[-7.73508409e-38]
0.6499999999999999	0.9921285165054076	100.0	100.0	0.0	0.0	0.0	0.0	[-7.84520494e-38]
0.66	0.992017913738726	100.0	100.0	0.0	0.0	0.0	0.0	[-7.95501769e-38]
0.6699999999999999	0.9919076071499979	100.0	100.0	0.0	0.0	0.0	0.0	[-8.0645233e-38]
0.68	0.991797595820655	100.0	100.0	0.0	0.0	0.0	0.0	[-8.17372271e-38]
0.69	0.9916878788355764	100.0	100.0	0.0	0.0	0.0	0.0	[-8.28261688e-38]
0.7	0.9915784552830725	100.0	100.0	0.0	0.0	0.0	0.0	[-8.39120674e-38]
0.71	0.9914693242548704	100.0	100.0	0.0	0.0	0.0	0.0	[-8.49949323e-38]
0.72	0.9913604848460941	100.0	100.0	0.0	0.0	0.0	0.0	[-8.60747728e-38]
0.73	0.991251936155254	100.0	100.0	0.0	0.0	0.0	0.0	[-8.71515984e-38]
0.74	0.9911436772842278	100.0	100.0	0.0	0.0	0.0	0.0	[-8.82254182e-38]
0.7499999999999999	0.991035707338246	100.0	100.0	0.0	0.0	0.0	0.0	[-8.92962416e-38]
0.76	0.9909280254258771	100.0	100.0	0.0	0.0	0.0	0.0	[-9.03640777e-38]
0.7699999999999999	0.9908206306590119	100.0	100.0	0.0	0.0	0.0	0.0	[-9.14289357e-38]
0.78	0.9907135221528487	100.0	100.0	0.0	0.0	0.0	0.0	[-9.24908247e-38]
0.7899999999999999	0.9906066990258767	100.0	100.0	0.0	0.0	0.0	0.0	[-9.35497539e-38]
0.8	0.9905001603998643	100.0	100.0	0.0	0.0	0.0	0.0	[-9.46057324e-38]
0.8099999999999999	0.9903939053998405	100.0	100.0	0.0	0.0	0.0	0.0	[-9.56587692e-38]
0.82	0.9902879331540814	100.0	100.0	0.0	0.0	0.0	0.0	[-9.67088732e-38]
0.83	0.990182242794096	100.0	100.0	0.0	0.0	0.0	0.0	[-9.77560535e-38]
0.84	0.9900768334546117	100.0	100.0	0.0	0.0	0.0	0.0	[-9.88003191e-38]
0.85	0.9899717042735579	100.0	100.0	0.0	0.0	0.0	0.0	[-9.98416788e-38]
0.86	0.9898668543920535	100.0	100.0	0.0	0.0	0.0	0.0	[-1.00880141e-37]
0.87	0.9897622829543916	100.0	100.0	0.0	0.0	0.0	0.0	[-1.01915716e-37]
0.88	0.9896579891080252	100.0	100.0	0.0	0.0	0.0	0.0	[-1.02948411e-37]
0.8899999999999999	0.9895539720035523	100.0	100.0	0.0	0.0	0.0	0.0	[-1.03978236e-37]
0.9	0.9894502307947028	100.0	100.0	0.0	0.0	0.0	0.0	[-1.05005199e-37]
0.9099999999999999	0.9893467646383234	100.0	100.0	0.0	0.0	0.0	0.0	[-1.06029309e-37]
0.9199999999999999	0.9892435726943644	100.0	100.0	0.0	0.0	0.0	0.0	[-1.07050574e-37]
0.93	0.9891406541258645	100.0	100.0	0.0	0.0	0.0	0.0	[-1.08069004e-37]
0.9400000000000001	0.9890380080989378	100.0	100.0	0.0	0.0	0.0	0.0	[-1.09084606e-37]
0.95	0.9889356337827604	100.0	100.0	0.0	0.0	0.0	0.0	[-1.1009739e-37]
0.96	0.9888335303495555	100.0	100.0	0.0	0.0	0.0	0.0	[-1.11107364e-37]
0.9699999999999999	0.9887316969745805	100.0	100.0	0.0	0.0	0.0	0.0	[-1.12114537e-37]
0.9800000000000001	0.9886301328361135	100.0	100.0	0.0	0.0	0.0	0.0	[-1.13118917e-37]
0.99	0.9885288371154394	100.0	100.0	0.0	0.0	0.0	0.0	[-1.14120512e-37]
1.0	0.9884278089968359	100.0	100.0	0.0	0.0	0.0	0.0	[-1.15119331e-37]
1.01	0.9883270476675605	100.0	100.0	0.0	0.0	0.0	0.0	[-1.16115383e-37]
1.0199999999999998	0.9882265523178378	100.0	100.0	0.0	0.0	0.0	0.0	[-1.17108675e-37]
1.03	0.9881263221408454	100.0	100.0	0.0	0.0	0.0	0.0	[-1.18099216e-37]
1.04	0.9880263563327024	100.0	100.0	0.0	0.0	0.0	0.0	[-1.19087015e-37]
1.05	0.9879266540924537	100.0	100.0	0.0	0.0	0.0	0.0	[-1.20072079e-37]
1.0599999999999998	0.9878272146220591	100.0	100.0	0.0	0.0	0.0	0.0	[-1.21054418e-37]
1.0699999999999998	0.9877280371263786	100.0	100.0	0.0	0.0	0.0	0.0	[-1.22034038e-37]
1.08	0.9876291208131616	100.0	100.0	0.0	0.0	0.0	0.0	[-1.23010949e-37]
1.09	0.9875304648930324	100.0	100.0	0.0	0.0	0.0	0.0	[-1.23985159e-37]
1.0999999999999999	0.9874320685794771	100.0	100.0	0.0	0.0	0.0	0.0	[-1.24956675e-37]
1.1099999999999999	0.9873339310888336	100.0	100.0	0.0	0.0	0.0	0.0	[-1.25925505e-37]
1.12	0.9872360516402756	100.0	100.0	0.0	0.0	0.0	0.0	[-1.26891659e-37]
1.1300000000000001	0.9871384294558022	100.0	100.0	0.0	0.0	0.0	0.0	[-1.27855143e-37]
1.14	0.9870410637602245	100.0	100.0	0.0	0.0	0.0	0.0	[-1.28815967e-37]
1.15	0.986943953781155	100.0	100.0	0.0	0.0	0.0	0.0	[-1.29774137e-37]
1.16	0.9868470987489916	100.0	100.0	0.0	0.0	0.0	0.0	[-1.30729662e-37]
1.1700000000000002	0.986750497896909	100.0	100.0	0.0	0.0	0.0	0.0	[-1.3168255e-37]
1.18	0.9866541504608438	100.0	100.0	0.0	0.0	0.0	0.0	[-1.32632809e-37]
