# time of execution: 2022-06-23 09:45:22
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:1e+20[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.993819642939508	100.0	100.0	0.0	0.0	0.0	0.0	[-6.18004102e-38]
0.02	0.9884207340221459	100.0	100.0	0.0	0.0	0.0	0.0	[-1.1578056e-37]
0.03	0.9836911952752468	100.0	100.0	0.0	0.0	0.0	0.0	[-1.63061954e-37]
0.04	0.979537742192072	100.0	100.0	0.0	0.0	0.0	0.0	[-2.04578058e-37]
0.05	0.9758821727536949	100.0	100.0	0.0	0.0	0.0	0.0	[-2.41111429e-37]
0.06	0.9726585060428847	100.0	100.0	0.0	0.0	0.0	0.0	[-2.73322341e-37]
0.07	0.9698107503766151	100.0	100.0	0.0	0.0	0.0	0.0	[-3.01771114e-37]
0.08	0.967291143984072	100.0	100.0	0.0	0.0	0.0	0.0	[-3.26935717e-37]
0.09	0.9650587546586195	100.0	100.0	0.0	0.0	0.0	0.0	[-3.4922578e-37]
0.1	0.9630783551294086	100.0	100.0	0.0	0.0	0.0	0.0	[-3.68993844e-37]
0.11	0.9613195123790705	100.0	100.0	0.0	0.0	0.0	0.0	[-3.86544478e-37]
0.12	0.9597558445552111	100.0	100.0	0.0	0.0	0.0	0.0	[-4.02141706e-37]
0.13	0.9583644103300776	100.0	100.0	0.0	0.0	0.0	0.0	[-4.16015127e-37]
0.14	0.9571252037994628	100.0	100.0	0.0	0.0	0.0	0.0	[-4.28364962e-37]
0.15	0.9560207341299107	100.0	100.0	0.0	0.0	0.0	0.0	[-4.39366261e-37]
0.16	0.9550356737526278	100.0	100.0	0.0	0.0	0.0	0.0	[-4.49172429e-37]
0.17	0.9541565623771003	100.0	100.0	0.0	0.0	0.0	0.0	[-4.5791818e-37]
0.18	0.9533715567509677	100.0	100.0	0.0	0.0	0.0	0.0	[-4.65722046e-37]
0.19	0.9526702181358795	100.0	100.0	0.0	0.0	0.0	0.0	[-4.72688505e-37]
0.2	0.952043331054431	100.0	100.0	0.0	0.0	0.0	0.0	[-4.78909791e-37]
