# time of execution: 2022-06-26 16:31:58
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.0	1.0	100.0	100.0	0	0	0	0	[0]
0.01	0.9999867824708332	100.0	100.0	0.0	0.0	0.0	0.0	[-1.0572966e-24]
0.02	0.9999735667864701	100.0	100.0	0.0	0.0	0.0	0.0	[-2.11423419e-24]
0.03	0.9999603529512737	100.0	100.0	0.0	0.0	0.0	0.0	[-3.17081249e-24]
0.04	0.9999471409696026	100.0	100.0	0.0	0.0	0.0	0.0	[-4.22703124e-24]
0.05	0.9999339308458068	100.0	100.0	0.0	0.0	0.0	0.0	[-5.28289014e-24]
0.06	0.9999207225842354	100.0	100.0	0.0	0.0	0.0	0.0	[-6.33838893e-24]
0.07	0.9999075161892299	100.0	100.0	0.0	0.0	0.0	0.0	[-7.39352734e-24]
0.08	0.9998943116651273	100.0	100.0	0.0	0.0	0.0	0.0	[-8.44830508e-24]
0.09	0.9998811090162588	100.0	100.0	0.0	0.0	0.0	0.0	[-9.50272188e-24]
0.1	0.9998679082469522	100.0	100.0	0.0	0.0	0.0	0.0	[-1.05567775e-23]
0.11	0.9998547093615274	100.0	100.0	0.0	0.0	0.0	0.0	[-1.16104716e-23]
0.12	0.9998415123643013	100.0	100.0	0.0	0.0	0.0	0.0	[-1.26638039e-23]
0.13	0.9998283172595859	100.0	100.0	0.0	0.0	0.0	0.0	[-1.37167742e-23]
0.14	0.9998151240516869	100.0	100.0	0.0	0.0	0.0	0.0	[-1.47693822e-23]
0.15	0.9998019327449051	100.0	100.0	0.0	0.0	0.0	0.0	[-1.58216277e-23]
0.16	0.9997887433435362	100.0	100.0	0.0	0.0	0.0	0.0	[-1.68735103e-23]
