# time of execution: 2022-06-17 15:11:16
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3
# mu_at=7[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.173178204080627e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:5e+20[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.47000000000000003	0.9977143022770557	100.0	100.0	0.0	0.0	0.0	0.0	[-2.28569772e-38]
0.48	0.9976670225862114	100.0	100.0	0.0	0.0	0.0	0.0	[-2.33297741e-38]
0.49000000000000005	0.9976197980032441	100.0	100.0	0.0	0.0	0.0	0.0	[-2.380202e-38]
0.5	0.9975726284541996	100.0	100.0	0.0	0.0	0.0	0.0	[-2.42737155e-38]
0.5099999999999999	0.9975255138652422	100.0	100.0	0.0	0.0	0.0	0.0	[-2.47448613e-38]
0.52	0.9974784541626571	100.0	100.0	0.0	0.0	0.0	0.0	[-2.52154584e-38]
0.5299999999999999	0.9974314492728457	100.0	100.0	0.0	0.0	0.0	0.0	[-2.56855073e-38]
0.54	0.9973844991223292	100.0	100.0	0.0	0.0	0.0	0.0	[-2.61550088e-38]
0.5499999999999999	0.9973376036377475	100.0	100.0	0.0	0.0	0.0	0.0	[-2.66239636e-38]
0.56	0.9972907627458582	100.0	100.0	0.0	0.0	0.0	0.0	[-2.70923725e-38]
0.57	0.9972439763735368	100.0	100.0	0.0	0.0	0.0	0.0	[-2.75602363e-38]
0.58	0.9971972444477768	100.0	100.0	0.0	0.0	0.0	0.0	[-2.80275555e-38]
0.59	0.9971505668956885	100.0	100.0	0.0	0.0	0.0	0.0	[-2.8494331e-38]
0.6	0.9971039436444991	100.0	100.0	0.0	0.0	0.0	0.0	[-2.89605636e-38]
0.61	0.9970573746215546	100.0	100.0	0.0	0.0	0.0	0.0	[-2.94262538e-38]
0.62	0.9970108597543149	100.0	100.0	0.0	0.0	0.0	0.0	[-2.98914025e-38]
0.6299999999999999	0.996964398970359	100.0	100.0	0.0	0.0	0.0	0.0	[-3.03560103e-38]
0.64	0.9969179921973805	100.0	100.0	0.0	0.0	0.0	0.0	[-3.0820078e-38]
0.6499999999999999	0.996871639363189	100.0	100.0	0.0	0.0	0.0	0.0	[-3.12836064e-38]
0.66	0.996825340395711	100.0	100.0	0.0	0.0	0.0	0.0	[-3.1746596e-38]
0.6699999999999999	0.9967790952229886	100.0	100.0	0.0	0.0	0.0	0.0	[-3.22090478e-38]
0.68	0.9967329037731785	100.0	100.0	0.0	0.0	0.0	0.0	[-3.26709623e-38]
0.69	0.9966867659745526	100.0	100.0	0.0	0.0	0.0	0.0	[-3.31323403e-38]
0.7	0.9966406817554974	100.0	100.0	0.0	0.0	0.0	0.0	[-3.35931824e-38]
0.71	0.996594651044515	100.0	100.0	0.0	0.0	0.0	0.0	[-3.40534896e-38]
0.72	0.9965486737702212	100.0	100.0	0.0	0.0	0.0	0.0	[-3.45132623e-38]
