# Delay [fs]	Temperature [K]
  -9.0000000e+03   2.9587518e+02
  -7.0000000e+03   2.9771554e+02
  -5.0000000e+03   2.9705301e+02
  -4.0000000e+03   2.9598560e+02
  -3.0000000e+03   2.9631686e+02
  -2.0000000e+03   2.9580156e+02
  -1.0000000e+03   2.9491818e+02
  -5.0000000e+02   2.9340908e+02
  -4.5000000e+02   2.9396119e+02
  -4.0000000e+02   2.9370354e+02
  -3.5000000e+02   2.9462372e+02
  -3.0000000e+02   2.9524945e+02
  -2.5000000e+02   2.9418204e+02
  -2.0000000e+02   2.9293059e+02
  -1.5000000e+02   2.9418204e+02
  -1.0000000e+02   2.9418204e+02
  -5.0000000e+01   2.9432927e+02
   0.0000000e+00   2.9878296e+02
   5.0000000e+01   3.0205881e+02
   1.0000000e+02   3.0522424e+02
   1.5000000e+02   3.0665973e+02
   2.0000000e+02   3.0809522e+02
   2.5000000e+02   3.1067173e+02
   3.0000000e+02   3.1195999e+02
   3.5000000e+02   3.1218084e+02
   4.0000000e+02   3.1103981e+02
   4.5000000e+02   3.1254891e+02
   5.0000000e+02   3.1519904e+02
   6.0000000e+02   3.1564073e+02
   7.0000000e+02   3.1597199e+02
   8.0000000e+02   3.1571434e+02
   9.0000000e+02   3.1541988e+02
   1.0000000e+03   3.1508862e+02
   1.1000000e+03   3.1689218e+02
   1.2000000e+03   3.1516223e+02
   1.3000000e+03   3.1626645e+02
   1.4000000e+03   3.1667133e+02
   1.5000000e+03   3.1781236e+02
   1.6000000e+03   3.1670814e+02
   1.7000000e+03   3.1961592e+02
   1.8000000e+03   3.2038888e+02
   1.9000000e+03   3.1670814e+02
   2.0000000e+03   3.1479416e+02
   2.2500000e+03   3.1578796e+02
   2.5000000e+03   3.1807001e+02
   2.7500000e+03   3.1711302e+02
   3.0000000e+03   3.1726025e+02
   3.5000000e+03   3.1553031e+02
   4.0000000e+03   3.1707622e+02
   4.5000000e+03   3.1575115e+02
   5.0000000e+03   3.1795959e+02
   5.5000000e+03   3.1641368e+02
   6.0000000e+03   3.1766513e+02
   6.5000000e+03   3.1873255e+02
   7.0000000e+03   3.1935827e+02
   7.5000000e+03   3.1829086e+02
   8.0000000e+03   3.1711302e+02
   8.5000000e+03   3.1681856e+02
   9.0000000e+03   3.1626645e+02
   9.5000000e+03   3.1681856e+02
   1.0000000e+04   3.1696579e+02
