# Delay [fs]	Temperature [K]
  -4.0000000e+03   3.0667200e+02
  -3.5000000e+03   3.0280723e+02
  -3.0000000e+03   2.9480163e+02
  -2.5000000e+03   3.0875775e+02
  -2.0000000e+03   3.0253117e+02
  -1.9000000e+03   2.9584450e+02
  -1.5380000e+03   2.9771554e+02
  -1.2410000e+03   2.9845169e+02
  -9.9800000e+02   2.9639661e+02
  -7.9900000e+02   2.9507768e+02
  -6.3600000e+02   3.0240848e+02
  -5.0300000e+02   2.9845169e+02
  -3.9400000e+02   2.9817564e+02
  -3.0400000e+02   2.9059945e+02
  -2.3100000e+02   2.9415750e+02
  -1.7100000e+02   3.1004601e+02
  -1.2200000e+02   3.0624258e+02
  -8.2000000e+01   3.0697873e+02
  -4.9000000e+01   3.1756085e+02
  -2.2000000e+01   3.3587251e+02
  -0.0000000e+00   3.3044342e+02
   1.7000000e+01   3.2605721e+02
   3.7000000e+01   3.2918584e+02
   6.1000000e+01   3.4366340e+02
   8.9000000e+01   3.5571781e+02
   1.2100000e+02   3.5347870e+02
   1.2900000e+02   3.6139228e+02
   1.3600000e+02   3.6166833e+02
   1.4400000e+02   3.6366207e+02
   1.5100000e+02   3.7194372e+02
   1.5900000e+02   3.6988864e+02
   2.0400000e+02   3.7890645e+02
   2.5700000e+02   4.0835234e+02
   3.1800000e+02   4.1850503e+02
   3.9100000e+02   4.2718544e+02
   4.7600000e+02   4.4834967e+02
   5.7500000e+02   4.7141562e+02
   6.9200000e+02   4.6844035e+02
   8.3000000e+02   4.9297860e+02
   9.9100000e+02   4.9285590e+02
   1.1800000e+03   5.0616790e+02
   1.4020000e+03   5.0923518e+02
   1.6620000e+03   5.1402014e+02
   1.9680000e+03   5.0742549e+02
   2.3260000e+03   5.2101354e+02
   2.7470000e+03   5.2254718e+02
   3.2410000e+03   5.2809895e+02
   3.8200000e+03   5.2030806e+02
   4.5000000e+03   5.1423485e+02
   5.0000000e+03   5.2190305e+02
   5.5000000e+03   5.0764019e+02
   6.0000000e+03   5.0527839e+02
   7.0000000e+03   5.0484897e+02
   8.0000000e+03   5.0595319e+02
   9.0000000e+03   5.1024738e+02
   1.0000000e+04   5.0089218e+02
