# Delay [fs]	Temperature [K]
  -4.0000000e+03   3.0372741e+02
  -3.5000000e+03   2.9759285e+02
  -3.0000000e+03   2.9961726e+02
  -2.5000000e+03   3.0084417e+02
  -2.0000000e+03   2.9986264e+02
  -1.9000000e+03   3.0207108e+02
  -1.5380000e+03   3.0452490e+02
  -1.2410000e+03   2.9747016e+02
  -9.9800000e+02   2.9777689e+02
  -7.9900000e+02   2.9605921e+02
  -6.3600000e+02   2.9753151e+02
  -5.0300000e+02   3.0292992e+02
  -3.9400000e+02   2.9888111e+02
  -3.0400000e+02   3.0286857e+02
  -2.3100000e+02   3.1697806e+02
  -1.7100000e+02   3.2102687e+02
  -1.2200000e+02   3.3924652e+02
  -8.2000000e+01   3.5519637e+02
  -4.9000000e+01   3.6875375e+02
  -2.2000000e+01   3.7274121e+02
  -0.0000000e+00   3.7850770e+02
   1.7000000e+01   3.8807762e+02
   3.7000000e+01   4.0194172e+02
   6.1000000e+01   4.0335267e+02
   8.9000000e+01   4.1261586e+02
   1.2100000e+02   4.3052877e+02
   1.2900000e+02   4.3230779e+02
   1.3600000e+02   4.2782957e+02
   1.4400000e+02   4.3457758e+02
   1.5100000e+02   4.3690872e+02
   1.5900000e+02   4.3838101e+02
   2.0400000e+02   4.5390145e+02
   2.5700000e+02   4.6782690e+02
   3.1800000e+02   4.9107688e+02
   3.3700000e+02   4.9543242e+02
   3.5500000e+02   4.9592318e+02
   3.7300000e+02   4.9954258e+02
   3.9100000e+02   5.0377542e+02
   4.1300000e+02   5.0659732e+02
   4.3400000e+02   5.1770087e+02
   4.7600000e+02   5.2616657e+02
   5.2600000e+02   5.3653397e+02
   5.7500000e+02   5.4125758e+02
   6.3400000e+02   5.4837367e+02
   6.9200000e+02   5.4855771e+02
   7.6100000e+02   5.5837301e+02
   8.3000000e+02   5.7334133e+02
   9.9100000e+02   5.8217510e+02
   1.1800000e+03   5.8107088e+02
   1.4020000e+03   5.8653064e+02
   1.6620000e+03   5.9383077e+02
   1.9680000e+03   5.9781823e+02
   2.3260000e+03   6.0303261e+02
   2.7470000e+03   5.9886111e+02
   3.2410000e+03   5.9021138e+02
   3.8200000e+03   5.9542575e+02
   4.5000000e+03   5.9309462e+02
   5.0000000e+03   5.7972128e+02
   5.5000000e+03   5.8775755e+02
   6.0000000e+03   5.8058012e+02
   7.0000000e+03   5.8714410e+02
   8.0000000e+03   5.7861706e+02
   9.0000000e+03   5.8904581e+02
   1.0000000e+04   5.7469094e+02
