# Delay [fs]	Temperature [K]
  -4.0000000e+03   3.0302194e+02
  -3.5000000e+03   3.0240848e+02
  -3.0000000e+03   3.0329799e+02
  -2.5000000e+03   3.0710142e+02
  -2.0000000e+03   2.9596719e+02
  -1.9000000e+03   2.9771554e+02
  -1.5380000e+03   2.9854371e+02
  -1.2410000e+03   2.9765420e+02
  -9.9800000e+02   3.0305261e+02
  -7.9900000e+02   2.9593652e+02
  -6.3600000e+02   2.9633527e+02
  -5.0300000e+02   2.9897313e+02
  -3.9400000e+02   2.9679536e+02
  -3.0400000e+02   2.9612056e+02
  -2.3100000e+02   3.0510769e+02
  -1.7100000e+02   3.0842035e+02
  -1.2200000e+02   3.1056745e+02
  -8.2000000e+01   3.1148763e+02
  -4.9000000e+01   3.1516837e+02
  -2.2000000e+01   3.1648730e+02
  -0.0000000e+00   3.2148696e+02
   1.7000000e+01   3.2771354e+02
   3.7000000e+01   3.3010602e+02
   6.1000000e+01   3.3522838e+02
   8.9000000e+01   3.3918517e+02
   1.2100000e+02   3.4946056e+02
   1.2900000e+02   3.5525772e+02
   1.3600000e+02   3.4887778e+02
   1.4400000e+02   3.4722144e+02
   1.5100000e+02   3.5605521e+02
   1.5900000e+02   3.4844836e+02
   2.0400000e+02   3.6461292e+02
   2.5700000e+02   3.7366140e+02
   3.1800000e+02   3.7547109e+02
   3.9100000e+02   3.8562379e+02
   4.7600000e+02   4.0059212e+02
   5.7500000e+02   4.0847503e+02
   6.9200000e+02   4.1500834e+02
   8.3000000e+02   4.1948656e+02
   9.9100000e+02   4.2117357e+02
   1.1800000e+03   4.3043675e+02
   1.4020000e+03   4.2522238e+02
   1.6620000e+03   4.2568247e+02
   1.9680000e+03   4.2963926e+02
   2.3260000e+03   4.3666333e+02
   2.7470000e+03   4.2816697e+02
   3.2410000e+03   4.3200107e+02
   3.8200000e+03   4.3328932e+02
   4.5000000e+03   4.3077415e+02
   5.0000000e+03   4.3531373e+02
   5.5000000e+03   4.2485430e+02
   6.0000000e+03   4.2970061e+02
   7.0000000e+03   4.2019204e+02
   8.0000000e+03   4.2497700e+02
   9.0000000e+03   4.2313663e+02
   1.0000000e+04   4.2381143e+02
   1.1000000e+04   4.2224712e+02
   1.2000000e+04   4.2427152e+02
   1.3000000e+04   4.1859705e+02
   1.4000000e+04   4.1776889e+02
   1.5000000e+04   4.1783023e+02
   1.6000000e+04   4.1657265e+02
   1.7000000e+04   4.1727812e+02
   1.8000000e+04   4.1007001e+02
   1.9000000e+04   4.1644996e+02
   2.0000000e+04   4.1356671e+02
