# Delay [fs]	Temperature [K]
  -4.0000000e+03   3.0084417e+02
  -3.5000000e+03   2.9765420e+02
  -3.0000000e+03   3.0121224e+02
  -2.5000000e+03   3.0041475e+02
  -2.0000000e+03   3.0213243e+02
  -1.9000000e+03   2.9924918e+02
  -1.5380000e+03   2.9943322e+02
  -1.2410000e+03   2.9955591e+02
  -9.9800000e+02   3.0108955e+02
  -7.9900000e+02   2.9973995e+02
  -6.3600000e+02   3.0053744e+02
  -5.0300000e+02   2.9808362e+02
  -3.9400000e+02   2.9875842e+02
  -3.0400000e+02   3.0102821e+02
  -2.3100000e+02   2.9888111e+02
  -1.7100000e+02   3.0145762e+02
  -1.2200000e+02   3.0728546e+02
  -8.2000000e+01   3.1182503e+02
  -4.9000000e+01   3.1667133e+02
  -2.2000000e+01   3.1875708e+02
  -0.0000000e+00   3.2200840e+02
   1.7000000e+01   3.2513703e+02
   3.7000000e+01   3.2752951e+02
   6.1000000e+01   3.3029006e+02
   8.9000000e+01   3.3617924e+02
   1.2100000e+02   3.3949190e+02
   1.2900000e+02   3.3985997e+02
   1.3600000e+02   3.4047343e+02
   1.4400000e+02   3.3973728e+02
   1.5100000e+02   3.4084150e+02
   1.5900000e+02   3.4114823e+02
   2.0400000e+02   3.4568780e+02
   2.5700000e+02   3.4716010e+02
   3.1800000e+02   3.5482830e+02
   3.9100000e+02   3.5869307e+02
   4.7600000e+02   3.6225112e+02
   5.7500000e+02   3.6421418e+02
   6.9200000e+02   3.6912182e+02
   8.3000000e+02   3.6924452e+02
   9.9100000e+02   3.7028739e+02
   1.1800000e+03   3.7151430e+02
   1.4020000e+03   3.7470427e+02
   1.6620000e+03   3.7059412e+02
   1.9680000e+03   3.7267987e+02
   2.3260000e+03   3.7562446e+02
   2.7470000e+03   3.7310929e+02
   3.2410000e+03   3.7445889e+02
   3.8200000e+03   3.7304794e+02
   4.5000000e+03   3.7409082e+02
   5.0000000e+03   3.7488831e+02
   5.5000000e+03   3.7544042e+02
   6.0000000e+03   3.7691272e+02
   7.0000000e+03   3.7832366e+02
   8.0000000e+03   3.7832366e+02
   9.0000000e+03   3.8083883e+02
   1.0000000e+04   3.8132960e+02
