# time of execution: 2021-06-02 11:45:03
#model:['m3tm', 'm3tm']
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:300.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, -0.1]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=[ 7 15]
# dx=[2.856e-10, 3e-10]	dy=[2.856e-10, 3e-10]	dz=[2.856e-10, 3e-10]	[m]
# atoms per unit cell:[2, 2]
# asf=[0.035, 0.01]
# Jint=-9.439036996666669e-21[J]
# Hex=1.8548000000000003e-24[J]
# Tc=[1041, 293][K]
# T_Deb=[396, 1][K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.01	[0.98624, 0.9863, 0.9863, 0.9863, 0.9863, 0.9863, 0.98624]	[-0.10002, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.09998]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.02	[0.98617, 0.98629, 0.98629, 0.98629, 0.98629, 0.98629, 0.98618]	[-0.10005, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.09997]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.03	[0.98611, 0.98629, 0.98629, 0.98629, 0.98629, 0.98629, 0.98613]	[-0.10007, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09995]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.04	[0.98604, 0.98628, 0.98628, 0.98628, 0.98628, 0.98628, 0.98607]	[-0.1001, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09993]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.05	[0.98598, 0.98628, 0.98628, 0.98628, 0.98628, 0.98628, 0.98601]	[-0.10012, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09991]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.06	[0.98591, 0.98628, 0.98628, 0.98628, 0.98628, 0.98628, 0.98595]	[-0.10015, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.0999]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.07	[0.98585, 0.98627, 0.98627, 0.98627, 0.98627, 0.98627, 0.9859]	[-0.10017, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09999, -0.09988]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.08	[0.98579, 0.98627, 0.98627, 0.98627, 0.98627, 0.98627, 0.98584]	[-0.1002, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09986]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.09	[0.98572, 0.98627, 0.98627, 0.98627, 0.98627, 0.98627, 0.98578]	[-0.10022, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09984]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.1	[0.98566, 0.98626, 0.98626, 0.98626, 0.98626, 0.98626, 0.98573]	[-0.10025, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09983]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.11	[0.98559, 0.98626, 0.98626, 0.98626, 0.98626, 0.98626, 0.98567]	[-0.10027, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09998, -0.09981]	[300.0, 300.0]	[300.0, 300.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
