# time of execution: 2021-05-24 15:37:36
#model:['m3tm', 'm3tm']
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:235.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, -0.612]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=[ 5 15]
# dx=[2.856e-10, 3e-10]	dy=[2.856e-10, 3e-10]	dz=[2.856e-10, 3e-10]	[m]
# atoms per unit cell:[2, 2]
# asf=[0.035, 0.01]
# Jint=-9.439036996666667e-21[J]
# Hex=9.274000000000001e-23[J]
# Tc=[1041, 293][K]
# T_Deb=[396, 1][K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.01	[0.98621, 0.98631, 0.98631, 0.98631, 0.98623]	[-0.61192, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61199, -0.61131]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.02	[0.98611, 0.98633, 0.98633, 0.98633, 0.98617]	[-0.61184, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61197, -0.61062]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.03	[0.98602, 0.98634, 0.98634, 0.98634, 0.9861]	[-0.61176, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.61196, -0.60994]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.04	[0.98592, 0.98635, 0.98635, 0.98635, 0.98603]	[-0.61168, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.61194, -0.60925]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.05	[0.98583, 0.98637, 0.98637, 0.98637, 0.98597]	[-0.6116, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.61193, -0.60856]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.06	[0.98573, 0.98638, 0.98638, 0.98638, 0.9859]	[-0.61152, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61192, -0.61191, -0.60788]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.07	[0.98564, 0.98639, 0.98639, 0.98639, 0.98583]	[-0.61144, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6119, -0.6072]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.08	[0.98555, 0.98641, 0.98641, 0.98641, 0.98577]	[-0.61137, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61189, -0.61188, -0.60651]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.09	[0.98545, 0.98642, 0.98642, 0.98642, 0.9857]	[-0.61129, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.61187, -0.60583]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.1	[0.98536, 0.98643, 0.98643, 0.98643, 0.98563]	[-0.61121, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61186, -0.61185, -0.60515]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
