# time of execution: 2022-06-24 13:05:02
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:6
# asf=0.12
# gep=2.5e+17[W/m^3/K]
# factor cv_el=225[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 3.894967677943116e-07[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:1e+21[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J/m^3]
0.47000000000000003	0.9707856499721714	100.0	100.0	0.0	0.0	0.0	0.0	[-2.326277e-21]
0.48	0.9707845955746894	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32612873e-21]
0.49000000000000005	0.9707835412161285	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32598047e-21]
0.5	0.9707824868964883	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32583223e-21]
0.5099999999999999	0.9707814326157692	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32568399e-21]
0.52	0.9707803783739708	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32553577e-21]
0.5299999999999999	0.9707793241710928	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32538756e-21]
0.54	0.9707782700071355	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32523936e-21]
0.5499999999999999	0.9707772158820984	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32509118e-21]
0.56	0.9707761617959814	100.0	100.0	0.0	0.0	0.0	0.0	[-2.324943e-21]
0.57	0.9707751077487848	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32479484e-21]
0.58	0.970774053740508	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32464669e-21]
0.59	0.9707729997711512	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32449855e-21]
0.6	0.9707719458407139	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32435042e-21]
0.61	0.9707708919491965	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3242023e-21]
0.62	0.9707698380965989	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3240542e-21]
0.6299999999999999	0.97076878428292	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32390611e-21]
0.64	0.9707677305081608	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32375803e-21]
0.6499999999999999	0.9707666767723203	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32360996e-21]
0.66	0.9707656230753994	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3234619e-21]
0.6699999999999999	0.9707645694173967	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32331385e-21]
0.68	0.9707635157983133	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32316582e-21]
0.69	0.9707624622181482	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32301779e-21]
0.7	0.9707614086769019	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32286978e-21]
0.71	0.9707603551745737	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32272178e-21]
0.72	0.970759301711164	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3225738e-21]
0.73	0.9707582482866723	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32242582e-21]
0.74	0.9707571949010985	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32227786e-21]
0.7499999999999999	0.9707561415544429	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3221299e-21]
0.76	0.9707550882467045	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32198196e-21]
0.7699999999999999	0.9707540349778843	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32183403e-21]
0.78	0.9707529817479812	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32168612e-21]
0.7899999999999999	0.9707519285569954	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32153821e-21]
0.8	0.9707508754049273	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32139032e-21]
0.8099999999999999	0.970749822291776	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32124243e-21]
0.82	0.9707487692175416	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32109456e-21]
0.83	0.9707477161822243	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3209467e-21]
0.84	0.9707466631858237	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32079885e-21]
0.85	0.9707456102283394	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32065102e-21]
0.86	0.970744557309772	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32050319e-21]
0.87	0.9707435044301208	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32035538e-21]
0.88	0.9707424515893857	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32020758e-21]
0.8899999999999999	0.9707413987875666	100.0	100.0	0.0	0.0	0.0	0.0	[-2.32005979e-21]
0.9	0.9707403460246636	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31991201e-21]
0.9099999999999999	0.9707392933006765	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31976425e-21]
0.9199999999999999	0.970738240615605	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31961649e-21]
0.93	0.9707371879694489	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31946875e-21]
0.9400000000000001	0.9707361353622083	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31932102e-21]
0.95	0.9707350827938832	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3191733e-21]
0.96	0.9707340302644731	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31902559e-21]
0.9699999999999999	0.9707329777739779	100.0	100.0	0.0	0.0	0.0	0.0	[-2.3188779e-21]
0.9800000000000001	0.9707319253223977	100.0	100.0	0.0	0.0	0.0	0.0	[-2.31873021e-21]
