# time of execution: 2021-08-03 13:30:23
#model:['m3tm', 'm3tm']
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:235.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, -0.4]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=[10 17]
# dx=[2.856e-10, 2e-10]	dy=[2.856e-10, 2e-10]	dz=[2.856e-10, 2.89e-10]	[m]
# atoms per unit cell:[2, 2]
# asf=[0.035, 0.01]
# Jint=-9.43903699666667e-20[J]
# Hex=0.0[J]
# Tc=[1041, 293][K]
# T_Deb=[396, 1][K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.01	[0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98632]	[-0.41493, -0.40215, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209, -0.40209]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.02	[0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98631, 0.98635]	[-0.42935, -0.40442, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417, -0.40417]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.03	[0.98632, 0.98632, 0.98632, 0.98632, 0.98632, 0.98632, 0.98632, 0.98632, 0.98632, 0.98637]	[-0.44326, -0.4068, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624, -0.40624]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.04	[0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.9864]	[-0.45669, -0.40927, -0.40832, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083, -0.4083]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.05	[0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98633, 0.98642]	[-0.46964, -0.41184, -0.41038, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036, -0.41036]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.06	[0.98634, 0.98634, 0.98634, 0.98634, 0.98634, 0.98634, 0.98634, 0.98634, 0.98634, 0.98645]	[-0.48212, -0.41449, -0.41245, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241, -0.41241]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.07	[0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98648]	[-0.49415, -0.41721, -0.41451, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445, -0.41445]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.08	[0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.98635, 0.9865]	[-0.50573, -0.42001, -0.41657, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648, -0.41648]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.09	[0.98636, 0.98636, 0.98636, 0.98636, 0.98636, 0.98636, 0.98636, 0.98636, 0.98636, 0.98653]	[-0.51689, -0.42286, -0.41863, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185, -0.4185]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.1	[0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98656]	[-0.52762, -0.42577, -0.42069, -0.42052, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051, -0.42051]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.11	[0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98637, 0.98658]	[-0.53795, -0.42872, -0.42274, -0.42252, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251, -0.42251]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.12	[0.98638, 0.98638, 0.98638, 0.98638, 0.98638, 0.98638, 0.98638, 0.98638, 0.98638, 0.98661]	[-0.54789, -0.43172, -0.4248, -0.42452, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451, -0.42451]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.13	[0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98664]	[-0.55745, -0.43476, -0.42685, -0.4265, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649, -0.42649]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.14	[0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98639, 0.98667]	[-0.56663, -0.43782, -0.4289, -0.42848, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847, -0.42847]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.15	[0.9864, 0.9864, 0.9864, 0.9864, 0.9864, 0.9864, 0.9864, 0.9864, 0.9864, 0.9867]	[-0.57546, -0.44091, -0.43095, -0.43045, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043, -0.43043]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.16	[0.98641, 0.98641, 0.98641, 0.98641, 0.98641, 0.98641, 0.98641, 0.98641, 0.98641, 0.98673]	[-0.58394, -0.44403, -0.433, -0.43241, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238, -0.43238]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
